sample_id	sample_name	total_singleton_reads	extracted_reads	no_anchor_reads	too_short_after_anchor_reads	n_variants_total	n_variants_kept_ge_min_umis	kept_reads	extracted_rate	no_anchor_rate	too_short_rate	kept_read_rate_of_extracted
GFB-61811	clibMAGE-A32xnegative	1527009	1376197	150355	457	84315	36052	1322062	0.9012369933641518	0.09846372876649712	0.00029927786935113023	0.960663335263774
GFB-61812	clibTitin2xnegative	1692851	1534909	157646	296	85045	38129	1482124	0.90670058971522	0.09312455732961732	0.00017485295516262212	0.9656103391145664
GFB-61813	clibKH1582xnegative	1591641	1418142	173189	310	86974	38345	1363429	0.8909936348711801	0.1088115975901601	0.0001947675386597857	0.9614192372837135
GFB-61814	clibKH1592xnegative	1459147	1326866	131733	548	75510	35147	1281668	0.9093436096568749	0.09028082845662569	0.00037556188649944113	0.9659362738965351
GFB-61815	clibKH1602xnegative	1647388	1486402	160535	451	75975	35954	1441228	0.9022780304336319	0.09744820285203	0.00027376671433809155	0.9696084908389521
GFB-61816	clibKH1632xnegative	1424553	1275232	149004	317	78163	35290	1226987	0.8951804530965152	0.10459702096025911	0.00022252594322569956	0.9621676683144714
GFB-61817	clibKH1642xnegative	1979138	1789764	189132	242	78203	35978	1742658	0.9043149088138371	0.0955628157308889	0.0001222754552739627	0.9736803288031272
GFB-61818	clibKH1652xnegative	1225235	1108233	116682	320	80295	36483	1058670	0.9045064824299012	0.09523234318314446	0.00026117438695433937	0.9552774551921843
GFB-61819	clibKH1672xnegative	1119390	971346	147871	173	81949	33122	916255	0.8677458258515799	0.13209962568899133	0.00015454845942879604	0.9432838555983141
GFB-61820	clibMAGE-A32xpositive	1072720	980461	92253	6	22492	8069	964052	0.9139952643746737	0.08599914236706689	5.59325825937803e-06	0.9832639952022569
GFB-61821	clibTitin2xpositive	1072941	981312	91539	90	21511	7254	965119	0.9146001504276563	0.08531596797959999	8.388159274368301e-05	0.9834986222526577
GFB-61822	clibMAGE-A33xpositive	743647	688116	55525	6	14404	5147	677252	0.9253261291983965	0.07466580245734872	8.068344254733765e-06	0.9842119642618395
GFB-61823	clibTitin3xpositive	1445452	1345198	100104	150	19854	5487	1328722	0.9306417646521642	0.06925446158018392	0.00010377376765191787	0.9877519889265373
GFB-61824	clibKH1583xpositive	1466274	1376584	89679	11	20311	5622	1359838	0.938831350757089	0.06116114723441867	7.502008492273613e-06	0.9878351048682826
GFB-61825	clibKH1593xpositive	1426550	1324564	101976	10	11987	3470	1314637	0.9285086397252111	0.07148435035575339	7.0099190354351404e-06	0.9925054583998961
GFB-61826	clibKH1603xpositive	1422339	1313279	108982	78	28515	8912	1291035	0.9233234833608585	0.0766216773919579	5.483924718368828e-05	0.98306224343799
GFB-61827	clibKH1633xpositive	1537525	1413859	123662	4	25204	7939	1394143	0.9195681371034617	0.08042926131282419	2.60158371408595e-06	0.9860551865497196
GFB-61828	clibKH1643xpositive	1270159	1176704	93449	6	10512	3190	1168080	0.9264225974858266	0.07357267869613174	4.7238180416782465e-06	0.9926710540628739
GFB-61829	clibKH1653xpositive	1189400	1102374	87009	17	19403	5593	1086559	0.9268320161425929	0.07315369093660669	1.4292920800403565e-05	0.9856536892198111
GFB-61830	clibKH1673xpositive	1258888	1139469	119263	156	20968	5852	1122341	0.9051392975387803	0.0947367835740749	0.00012391888714484528	0.9849684370526973
GFB-61831	clibMAGE-A331xpositive	1374790	1264248	110533	9	19763	4627	1246892	0.9195935379221554	0.08039991562347704	6.546454367576139e-06	0.9862716808727402
GFB-61832	clibTitin31xpositive	564058	512810	51246	2	7170	1855	506716	0.9091440951107865	0.09085235915455503	3.5457346584925665e-06	0.9881164563873559
GFB-61833	clibKH15831xpositive	703995	616074	87910	11	8593	1906	608469	0.8751113289156883	0.12487304597333788	1.562511097379953e-05	0.9876557036979324
GFB-61834	clibKH15931xpositive	644334	569308	75024	2	6339	1449	563664	0.8835603894874398	0.1164365065323264	3.1039802338538707e-06	0.9900862099250318
GFB-61835	clibKH16031xpositive	1299547	1185683	113852	12	17608	4416	1170553	0.9123817761112142	0.0876089899018658	9.233986920057528e-06	0.9872394223413846
GFB-61836	clibKH16331xpositive	1294371	1190462	103901	8	13970	3784	1178771	0.9197223979832676	0.08027142140854515	6.180608187297151e-06	0.9901794429389599
GFB-61837	clibKH16431xpositive	947889	878184	69701	4	6411	1743	872789	0.9264629086317069	0.0735328714649078	4.2199033853119935e-06	0.9938566405218041
GFB-61838	clibKH16531xpositive	821881	742820	79059	2	10038	2513	734223	0.9038048087253507	0.09619275783233826	2.433442310991494e-06	0.988426536711451
GFB-61839	clibKH16731xpositive	917048	832503	84536	9	7754	2010	825782	0.9078074430127976	0.09218274288804948	9.814099152934198e-06	0.9919267558194985
GFB-61840	cliboriginallib	1497733	1214917	282508	308	102035	51017	1155806	0.8111706158574326	0.18862374001240542	0.00020564413016205157	0.9513456474804451
