sample,fail_anchor_not_found,fail_contains_N,fail_degenerate_mismatch,fail_region_too_short,fail_stop_codon,pass,total_reads,pass_rate
GFB-61811_clibMAGE-A32xnegative,364339,1943499,199981,1168,6967,6447235,8963189,0.7193014673683663
GFB-61812_clibTitin2xnegative,272327,1626413,184824,605,4473,5906351,7994993,0.7387562440642537
GFB-61813_clibKH1582xnegative,328366,1655953,176795,690,6394,6029680,8197878,0.7355171667594955
GFB-61814_clibKH1592xnegative,329623,2116408,203562,1591,5096,6847521,9503801,0.7205034070052603
GFB-61815_clibKH1602xnegative,292993,1403358,182316,860,4855,5545371,7429753,0.7463735335481543
GFB-61816_clibKH1632xnegative,299594,1258325,192320,834,4634,5818074,7573781,0.7681861939234842
GFB-61817_clibKH1642xnegative,207567,917584,127869,269,3944,4160616,5417849,0.7679460981655266
GFB-61818_clibKH1652xnegative,312387,1670914,209283,1053,5846,6962452,9161935,0.7599324815118204
GFB-61819_clibKH1672xnegative,326152,822360,220506,1044,6268,6813504,8189834,0.8319465327380262
GFB-61820_clibMAGE-A32xpositive,35933,113367,36485,2,1118,1396152,1583057,0.8819341312410103
GFB-61821_clibTitin2xpositive,41833,124740,34486,46,1735,1550142,1752982,0.8842886007956727
GFB-61822_clibMAGE-A33xpositive,9450,40457,19490,0,580,742524,812501,0.9138745675389938
GFB-61823_clibTitin3xpositive,46001,234772,36569,47,1016,1996660,2315065,0.8624639049011583
GFB-61824_clibKH1583xpositive,40577,270897,71880,5,276,2210110,2593745,0.8520922449970988
GFB-61825_clibKH1593xpositive,43661,204166,20717,1,180,1876796,2145521,0.8747507015778452
GFB-61826_clibKH1603xpositive,88541,350604,56644,66,1704,2785364,3282923,0.84844024669479
GFB-61827_clibKH1633xpositive,65037,254631,48181,4,8029,2070900,2446782,0.8463769963977175
GFB-61828_clibKH1643xpositive,29570,148977,16932,1,224,1549636,1745340,0.8878705581720467
GFB-61829_clibKH1653xpositive,42138,160656,43724,2,782,1694826,1942128,0.8726644175873063
GFB-61830_clibKH1673xpositive,63007,184147,48448,89,296,1810467,2106454,0.8594856569381529
GFB-61831_clibMAGE-A331xpositive,164407,501096,125794,14,6070,3704885,4502266,0.8228934052319432
GFB-61832_clibTitin31xpositive,12186,29102,13245,0,305,697233,752071,0.927084012014823
GFB-61833_clibKH15831xpositive,91213,130956,67929,9,378,2461991,2752476,0.8944641115853508
GFB-61834_clibKH15931xpositive,87597,96068,27257,7,152,2204338,2415419,0.9126110211106231
GFB-61835_clibKH16031xpositive,67334,246216,44236,2,405,2252331,2610524,0.862788850054625
GFB-61836_clibKH16331xpositive,61672,206440,55568,4,1835,2052058,2377577,0.8630879252280789
GFB-61837_clibKH16431xpositive,13850,70028,10434,0,140,1037427,1131879,0.916552917758877
GFB-61838_clibKH16531xpositive,28154,63366,28800,0,192,1081926,1202438,0.8997769531568364
GFB-61839_clibKH16731xpositive,44181,91122,49916,3,173,1380393,1565788,0.8815963591495145
GFB-61840_cliboriginallib,532233,1481514,190798,791,5689,6521633,8732658,0.746809619705707
